album_id,album_name,release_date,release_date_precision,total_tracks,album_type
3MmaEuRsvajBpAMVV3dkEZ,May Maadham (Original Motion Picture Soundtrack),1994-09-09,day,6,album
5KUNZtvhRhl1tdreOokE9B,Humse Hai Muqabala (Original Motion Picture Soundtrack),1994-05-26,day,9,album
6IKpfZUk6Qdv5CZp2RSinp,Duet (Original Motion Picture Soundtrack),1994-05-05,day,13,album
2lORIs7BAIYVH7xxcXsUn7,Roja (Original Motion Picture Soundtrack),1994-03-12,day,12,album
2F9xEjS85QETvlzDIh7CRR,Gangmaster (Original Motion Picture Soundtrack),1994-03-12,day,6,album
3OmP0dk4emTmCwliKuPY7j,Duet (Original Motion Picture Soundtrack),1994-03-12,day,8,album
5KMG2UKnAQbbkVXtu7KYRM,Donga Donga (Original Motion Picture Soundtrack),1994-03-12,day,8,album
4FzDy8CdFl4k6c5bU63Zck,Tu Hi Mera Dil,1994-01-01,day,6,album
4ZainykpWQep1A7T7YHhK6,Thiruda Thiruda (Original Motion Picture Soundtrack),1993-03-12,day,6,album
3Cpk1MOAydmFv79xCaVBjI,Dharam Yoddha,1992-01-01,day,7,album
1qvrzUMYf0axJOJ8FZRDny,Roja (Original Motion Picture Soundtrack),1992,year,7,album
1trkSDyvBRQuO2TzcxqcfE,Prema Desam,2024-04-30,day,1,single
1yoVKpOf3GJpd5TtnnJDcM,The Goat Life - Aadujeevitham (Original Background Score),2024-04-13,day,5,single
3VkozanPHEPfH4ovGGPamt,"The Musical Trailer (From ""Maidaan"")",2024-04-10,day,1,single
1mq1RIUpl4QuVPuXKdo9q0,"Tu Kya Jaane (From "" Amar Singh Chamkila"")",2024-04-04,day,1,single
5wYfHA54HUMZ8sb9f2P6W6,Premikudu,2024-04-03,day,1,single
6qYvZs3N9bq5QetgEDT12S,Amar Singh Chamkila (Original Motion Picture Soundtrack),2024-03-29,day,6,single
0TYBzKDcTLFDfGSNASJP0c,Suttum Vizhi Chudar Dhaan (Unplugged),2024-03-26,day,1,single
0JtNg3Zk2fnGlA4aVR9UIH,Kaatre En Vaasal Vandhaai (Unplugged),2024-03-22,day,1,single
14S7MgoOoVwnb9JVH24OkF,The Goat life - Aadujeevitham,2024-03-18,day,5,single
0pnUFvQFta6aRzoPoCHVQS,The Goat Life - Aadujeevitham (Original Motion Picture Soundtrack),2024-03-18,day,5,single
5D9buQFa1e7jbqPzFQgz5Y,The Unsung,2024-03-15,day,1,single
78SWgwiopokxvcxNde7CpA,"Hope (From ""The Goat Life - Aadujeevitham"")",2024-03-14,day,1,single
1TeF9qpNSmewhmBzMbqPyn,Lal Salaam (Hindi) [Original Motion Picture Soundtrack],2024-02-29,day,5,single
3wvTi8xmzrsr6eU0fgSN9C,"Ishq Mitaye (From ""Amar Singh Chamkila"")",2024-02-29,day,1,single
0eKcBvEfQVecgcOMbCLGZL,Konjum Mainaakale (Cover),2024-02-27,day,1,single
5q4ZIWiSx65w4uELtYXaDq,Saahasam Swaasaga Saagipo,2024-02-21,day,1,single
3SFbHG31UGyqCUuD04712p,Evano Oruvan BGM (Soul Jazz Mix),2024-02-14,day,1,single
61FPPz2PGEF4ctYKYPmslc,Dream a Little Dream of Me,2024-02-14,day,1,single
4zCSbSFV9noGRAdbnWEs48,Endrendrum Punnagai (Cover),2024-02-10,day,1,single
06WsEYnFZMI2uk6GTnPfHx,Lal Salaam (Telugu) [Original Motion Picture Soundtrack],2024-02-08,day,5,single
4z1B53UzRe5QLEoKSfzqLZ,Lal Salaam (Original Motion Picture Soundtrack),2024-01-26,day,5,single
7JwmwrPrK41jqWB75PdzRz,Ayalaan (Telugu) [Original Motion Picture Soundtrack],2024-01-25,day,5,single
6oFnu5xpV7fCXJMiAODder,"Ae Pulla (From ""Lal Salaam"")",2024-01-15,day,1,single
3U8fY0EeSghlXHRbYdWV8c,Kandukonden Kandukonden (Unplugged Cover),2024-01-13,day,1,single
7LaGxMvMmaBHrXGN43v6J2,Ayalaan (Original Motion Picture Soundtrack),2024-01-10,day,5,single
2PYD4Vv767N23fDtqRJV7T,AGR (Hindi) [Original Motion Picture Soundtrack],2024-01-08,day,5,single
4Xi8WDylR65sat8mwta52e,Enna Solla Pogirai (Cover),2024-01-05,day,1,single
4pQFaEStMxSZotZqXlXYd2,Spirit Of Rangeela (Insta Mix),2023-12-21,day,1,single
3FK9fJEuqDSWKZGDRUbt6H,"Ayalaa Ayalaa [From ""Ayalaan (Telugu)""]",2023-12-20,day,1,single
465suDXZM6xmGNsRhtABtO,"Ayalaa Ayalaa (From ""Ayalaan"")",2023-12-20,day,1,single
5cQQDu1OdUJVG6TLrNutyd,"Ranvijay's Entry Medley (From ""ANIMAL"")",2023-12-14,day,1,single
1pPfGwwm9Pm4QXKLRuF214,Ramta Jogi (Insta Mix),2023-12-11,day,1,single
4yFi2gmU9aWEm7zfEp0Yfc,"Punnagayil Thee Mooti (From ""Jeans"")",2023-12-11,day,1,single
2VUihQ3kv5bSZHc7GbbcbB,"BGM -En Swasa Kaatre (from ""En Swasa Katre"")",2023-12-11,day,1,single
09uVKRcXmteNL61IR10UzV,36 Non Stop Uncontrolled Remix A. R. Rahman,2023-12-02,day,1,single
2rVSrvvb7o1wI2yktpWiPL,Kehna Hi Kya (Unwind Instrumental),2023-11-29,day,1,single
3fs45MITx5MQAUjcVq9632,Porkalam Ange (Rendition),2023-11-23,day,1,single
1TcbCngJ2TuY9CFLL8V7o6,Pavithra (Karaoke),2023-11-15,day,6,single
